"","X1","X2","X3","X4","X5","X6","Variables","VariableCount"
"1","Sex",NA,NA,NA,NA,NA,"Sex",1
"2","Length",NA,NA,NA,NA,NA,"Length",1
"3","Returner",NA,NA,NA,NA,NA,"Returner",1
"4","TurtlePres",NA,NA,NA,NA,NA,"TurtlePres",1
"5","LightCond",NA,NA,NA,NA,NA,"LightCond",1
"6","LightCond*DaysSincePeak",NA,NA,NA,NA,NA,"LightCond*DaysSincePeak",1
"7","Sex","Length",NA,NA,NA,NA,"Sex+ Length",2
"8","Sex","Returner",NA,NA,NA,NA,"Sex+ Returner",2
"9","Sex","TurtlePres",NA,NA,NA,NA,"Sex+ TurtlePres",2
"10","Sex","LightCond",NA,NA,NA,NA,"Sex+ LightCond",2
"11","Sex","LightCond*DaysSincePeak",NA,NA,NA,NA,"Sex+ LightCond*DaysSincePeak",2
"12","Length","Returner",NA,NA,NA,NA,"Length+ Returner",2
"13","Length","TurtlePres",NA,NA,NA,NA,"Length+ TurtlePres",2
"14","Length","LightCond",NA,NA,NA,NA,"Length+ LightCond",2
"15","Length","LightCond*DaysSincePeak",NA,NA,NA,NA,"Length+ LightCond*DaysSincePeak",2
"16","Returner","TurtlePres",NA,NA,NA,NA,"Returner+ TurtlePres",2
"17","Returner","LightCond",NA,NA,NA,NA,"Returner+ LightCond",2
"18","Returner","LightCond*DaysSincePeak",NA,NA,NA,NA,"Returner+ LightCond*DaysSincePeak",2
"19","TurtlePres","LightCond",NA,NA,NA,NA,"TurtlePres+ LightCond",2
"20","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,NA,"TurtlePres+ LightCond*DaysSincePeak",2
"21","LightCond","LightCond*DaysSincePeak",NA,NA,NA,NA,"LightCond+ LightCond*DaysSincePeak",2
"22","Sex","Length","Returner",NA,NA,NA,"Sex+ Length+ Returner",3
"23","Sex","Length","TurtlePres",NA,NA,NA,"Sex+ Length+ TurtlePres",3
"24","Sex","Length","LightCond",NA,NA,NA,"Sex+ Length+ LightCond",3
"25","Sex","Length","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ Length+ LightCond*DaysSincePeak",3
"26","Sex","Returner","TurtlePres",NA,NA,NA,"Sex+ Returner+ TurtlePres",3
"27","Sex","Returner","LightCond",NA,NA,NA,"Sex+ Returner+ LightCond",3
"28","Sex","Returner","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ Returner+ LightCond*DaysSincePeak",3
"29","Sex","TurtlePres","LightCond",NA,NA,NA,"Sex+ TurtlePres+ LightCond",3
"30","Sex","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ TurtlePres+ LightCond*DaysSincePeak",3
"31","Sex","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Sex+ LightCond+ LightCond*DaysSincePeak",3
"32","Length","Returner","TurtlePres",NA,NA,NA,"Length+ Returner+ TurtlePres",3
"33","Length","Returner","LightCond",NA,NA,NA,"Length+ Returner+ LightCond",3
"34","Length","Returner","LightCond*DaysSincePeak",NA,NA,NA,"Length+ Returner+ LightCond*DaysSincePeak",3
"35","Length","TurtlePres","LightCond",NA,NA,NA,"Length+ TurtlePres+ LightCond",3
"36","Length","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Length+ TurtlePres+ LightCond*DaysSincePeak",3
"37","Length","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Length+ LightCond+ LightCond*DaysSincePeak",3
"38","Returner","TurtlePres","LightCond",NA,NA,NA,"Returner+ TurtlePres+ LightCond",3
"39","Returner","TurtlePres","LightCond*DaysSincePeak",NA,NA,NA,"Returner+ TurtlePres+ LightCond*DaysSincePeak",3
"40","Returner","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"Returner+ LightCond+ LightCond*DaysSincePeak",3
"41","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,NA,NA,"TurtlePres+ LightCond+ LightCond*DaysSincePeak",3
"42","Sex","Length","Returner","TurtlePres",NA,NA,"Sex+ Length+ Returner+ TurtlePres",4
"43","Sex","Length","Returner","LightCond",NA,NA,"Sex+ Length+ Returner+ LightCond",4
"44","Sex","Length","Returner","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ Returner+ LightCond*DaysSincePeak",4
"45","Sex","Length","TurtlePres","LightCond",NA,NA,"Sex+ Length+ TurtlePres+ LightCond",4
"46","Sex","Length","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ TurtlePres+ LightCond*DaysSincePeak",4
"47","Sex","Length","LightCond","LightCond*DaysSincePeak",NA,NA,"Sex+ Length+ LightCond+ LightCond*DaysSincePeak",4
"48","Sex","Returner","TurtlePres","LightCond",NA,NA,"Sex+ Returner+ TurtlePres+ LightCond",4
"49","Sex","Returner","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Sex+ Returner+ TurtlePres+ LightCond*DaysSincePeak",4
"50","Sex","Returner","LightCond","LightCond*DaysSincePeak",NA,NA,"Sex+ Returner+ LightCond+ LightCond*DaysSincePeak",4
"51","Sex","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,NA,"Sex+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",4
"52","Length","Returner","TurtlePres","LightCond",NA,NA,"Length+ Returner+ TurtlePres+ LightCond",4
"53","Length","Returner","TurtlePres","LightCond*DaysSincePeak",NA,NA,"Length+ Returner+ TurtlePres+ LightCond*DaysSincePeak",4
"54","Length","Returner","LightCond","LightCond*DaysSincePeak",NA,NA,"Length+ Returner+ LightCond+ LightCond*DaysSincePeak",4
"55","Length","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,NA,"Length+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",4
"56","Returner","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,NA,"Returner+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",4
"57","Sex","Length","Returner","TurtlePres","LightCond",NA,"Sex+ Length+ Returner+ TurtlePres+ LightCond",5
"58","Sex","Length","Returner","TurtlePres","LightCond*DaysSincePeak",NA,"Sex+ Length+ Returner+ TurtlePres+ LightCond*DaysSincePeak",5
"59","Sex","Length","Returner","LightCond","LightCond*DaysSincePeak",NA,"Sex+ Length+ Returner+ LightCond+ LightCond*DaysSincePeak",5
"60","Sex","Length","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,"Sex+ Length+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",5
"61","Sex","Returner","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,"Sex+ Returner+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",5
"62","Length","Returner","TurtlePres","LightCond","LightCond*DaysSincePeak",NA,"Length+ Returner+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",5
"63","Sex","Length","Returner","TurtlePres","LightCond","LightCond*DaysSincePeak","Sex+ Length+ Returner+ TurtlePres+ LightCond+ LightCond*DaysSincePeak",6
